experiment,result_path,result_index,workload,prompt_token_length,prompt_length_label,mixed_prompt_lengths,max_new_tokens,limit,concurrency,decode_batch_max_size,configured_head_grouping_policy,configured_dpu_placement_policy,baseline,baseline_key,internal_baseline,output_token_throughput_tps,avg_latency_s,avg_tpot_s,wall_time_s,num_requests,num_dpus,resident_kv_dtype,head_grouping_policy,dpu_placement_policy,dpu_active_count,dpu_active_ratio,dpu_avg_live_elems_active,dpu_max_live_elems,dpu_min_live_elems_active,dpu_imbalance_ratio,dpu_spread_ratio,dpu_live_elems_cv,dpu_imbalance_ratio_all,dpu_spread_ratio_all,dpu_live_elems_cv_all,dpu_live_elems_by_dpu,rank_imbalance_ratio,block_fill_ratio,avg_blocks_per_slot,allocator_max_usage_ratio,allocator_avg_usage_ratio,fallback_allocations,dpu_allocate_failures,total_tokens,dense_compute_s,pim_compute_s,dense_throughput_tps,pim_throughput_tps,throughput_gap_ratio,decode_batch_max_observed_size,decode_batch_config_max_size,decode_batch_flushes,decode_batch_wait_s,decode_batch_reordered_flushes,decode_batch_size_histogram
imbalance,artifacts/motivation_imbalance_d16_smoke_20260517/cases/imbalance__mixed-synthetic__pnative__naive-pim/results.jsonl,0,mixed_synthetic,0,native,"64,512,1536",1,4,4,8,legacy,identity,Naive PIM,naive_pim,disagg_pim_naive,1.1543538436694618,2.461866319179535,1.7005323767662048,3.465142011642456,4,16,fp32,legacy,identity,4,0.25,149760.0,149760.0,149760.0,1.0,0.0,0.0,4.0,4.0,1.7320508075688774,"[0, 0, 0, 0, 0, 0, 149760, 149760, 149760, 149760, 0, 0, 0, 0, 0, 0]",1.0,1.0,4.0,0.142822265625,0.03570556640625,0,0,4,0.0004799589514732361,0.0,8334.046042316708,0.0,1.0,0,8,0,0.0,0,{}
imbalance,artifacts/motivation_imbalance_d16_smoke_20260517/cases/imbalance__mixed-synthetic__pnative__cloverinfer/results.jsonl,0,mixed_synthetic,0,native,"64,512,1536",1,4,4,8,balanced,rotated,CloverInfer,cloverinfer,disagg_cloverinfer,1.2405497567771469,2.554368734359741,1.7391016483306885,3.224376916885376,4,16,fp32,balanced,rotated,4,0.25,149760.0,149760.0,149760.0,1.0,0.0,0.0,4.0,4.0,1.7320508075688774,"[0, 0, 0, 0, 0, 0, 149760, 149760, 149760, 149760, 0, 0, 0, 0, 0, 0]",1.0,1.0,4.0,0.142822265625,0.03570556640625,0,0,4,0.0005088708130642772,0.0,7860.541216567566,0.0,1.0,0,8,0,0.0,0,{}
