experiment,result_path,result_index,workload,prompt_token_length,prompt_length_label,mixed_prompt_lengths,max_new_tokens,limit,concurrency,decode_batch_max_size,configured_head_grouping_policy,configured_dpu_placement_policy,baseline,baseline_key,internal_baseline,output_token_throughput_tps,avg_latency_s,avg_tpot_s,wall_time_s,num_requests,num_dpus,resident_kv_dtype,head_grouping_policy,dpu_placement_policy,dpu_active_count,dpu_active_ratio,dpu_avg_live_elems_active,dpu_max_live_elems,dpu_min_live_elems_active,dpu_imbalance_ratio,dpu_spread_ratio,dpu_live_elems_cv,dpu_imbalance_ratio_all,dpu_spread_ratio_all,dpu_live_elems_cv_all,dpu_live_elems_by_dpu,rank_imbalance_ratio,block_fill_ratio,avg_blocks_per_slot,allocator_max_usage_ratio,allocator_avg_usage_ratio,fallback_allocations,dpu_allocate_failures,total_tokens,dense_compute_s,pim_compute_s,dense_throughput_tps,pim_throughput_tps,throughput_gap_ratio,decode_batch_max_observed_size,decode_batch_config_max_size,decode_batch_flushes,decode_batch_wait_s,decode_batch_reordered_flushes,decode_batch_size_histogram
imbalance,artifacts/motivation_imbalance_smoke_20260517/cases/imbalance__mixed-synthetic__pnative__naive-pim/results.jsonl,0,mixed_synthetic,0,native,"64,512,1536",1,4,4,8,legacy,identity,Naive PIM,naive_pim,disagg_pim_naive,2.01200785173047,1.6308006644248962,0.7784926891326904,1.9880638122558594,4,4,fp32,legacy,identity,4,1.0,1032192.0,1032192.0,1032192.0,1.0,0.0,0.0,1.0,0.0,0.0,"[1032192, 1032192, 1032192, 1032192]",1.0,0.66796875,3.0,0.984375,0.984375,20,20,4,0.000582301989197731,0.0,6869.2878853308,0.0,1.0,0,8,0,0.0,0,{}
imbalance,artifacts/motivation_imbalance_smoke_20260517/cases/imbalance__mixed-synthetic__pnative__cloverinfer/results.jsonl,0,mixed_synthetic,0,native,"64,512,1536",1,4,4,8,balanced,rotated,CloverInfer,cloverinfer,disagg_cloverinfer,2.0065883951386576,1.3628479838371277,0.6259294152259827,1.9934332370758057,4,4,fp32,balanced,rotated,4,1.0,1032192.0,1032192.0,1032192.0,1.0,0.0,0.0,1.0,0.0,0.0,"[1032192, 1032192, 1032192, 1032192]",1.0,0.66796875,3.0,0.984375,0.984375,68,68,4,0.00045434595085680485,0.0,8803.864087391572,0.0,1.0,0,8,0,0.0,0,{}
