achieved_output_throughput_tps,achieved_request_throughput_rps,arrival_rate_rps,baseline,baseline_key,case_seed,dataset,dataset_slug,error,input_tokens_mean,input_truncated_count,internal_baseline,latency_from_arrival_mean_s,latency_internal_mean_s,model,model_slug,normalized_internal_latency_mean,normalized_internal_latency_p50,normalized_internal_latency_p90,normalized_internal_latency_p95,normalized_latency_mean,normalized_latency_p50,normalized_latency_p90,normalized_latency_p95,num_requests,out_of_order_completions,output_length_fallback_count,output_tokens_mean,output_truncated_count,status,wall_time_s
1.5855107217958595,0.1013105892521316,0.1,AFD,afd,233070676,humaneval,humaneval,,204.45,0,disagg_afd,26.918679070472717,18.203361785411836,opt-1.3b,opt-1-3b,1.1512369762692187,1.0960425212979317,1.6894214808940888,1.6961116075515748,1.7139498702353901,1.7099398896098137,2.182644087076188,2.559180769324303,20,0,0,15.65,19,ok,197.4127299785614
2.2270085180504027,0.14230086377318868,0.15,AFD,afd,860434837,humaneval,humaneval,,204.45,0,disagg_afd,28.832605159282686,22.758615005016328,opt-1.3b,opt-1-3b,1.4369343438910114,1.4138168320059776,2.0265647009015084,2.0493669152259826,1.8230792695449458,1.7167124822735786,2.9279820442199704,2.9597803905606273,20,0,0,15.65,19,ok,140.5472846031189
2.4908739057912532,0.15916127193554333,0.2,AFD,afd,310886590,humaneval,humaneval,,204.45,0,disagg_afd,45.26673617362976,35.76322739124298,opt-1.3b,opt-1-3b,2.247933957311842,2.4382272958755493,3.0601318448781973,3.475283192098141,2.8449562942816153,2.5713728442788124,4.797572462260724,4.8214415602386,20,0,0,15.65,19,ok,125.65870928764343
