experiment,result_path,result_index,workload,prompt_token_length,prompt_length_label,mixed_prompt_lengths,max_new_tokens,limit,concurrency,decode_batch_max_size,configured_head_grouping_policy,configured_dpu_placement_policy,baseline,baseline_key,internal_baseline,output_token_throughput_tps,avg_latency_s,avg_tpot_s,wall_time_s,num_requests,num_dpus,resident_kv_dtype,head_grouping_policy,dpu_placement_policy,dpu_active_count,dpu_active_ratio,dpu_avg_live_elems_active,dpu_max_live_elems,dpu_min_live_elems_active,dpu_imbalance_ratio,dpu_spread_ratio,dpu_live_elems_cv,dpu_imbalance_ratio_all,dpu_spread_ratio_all,dpu_live_elems_cv_all,dpu_live_elems_by_dpu,rank_imbalance_ratio,block_fill_ratio,avg_blocks_per_slot,allocator_max_usage_ratio,allocator_avg_usage_ratio,fallback_allocations,dpu_allocate_failures,total_tokens,dense_compute_s,pim_compute_s,dense_throughput_tps,pim_throughput_tps,throughput_gap_ratio,decode_batch_max_observed_size,decode_batch_config_max_size,decode_batch_flushes,decode_batch_wait_s,decode_batch_reordered_flushes,decode_batch_size_histogram,seq_lens,seq_len_min,seq_len_max,seq_len_mean
imbalance_model,,0,mixed_synthetic,0,native,"64,512,1536,64,768,128",4,6,6,8,model,model,Naive Head-Only PIM,naive-head-only-pim,head_only_no_token_sharding_model,0.0,0.0,0.0,0.0,6,16,,model,model,4,0.25,3072.0,3072.0,3072.0,1.0,0.0,0.0,4.0,4.0,1.7320508075688774,"[3072, 3072, 3072, 3072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0,0,3072,0.0,0.0,0.0,0.0,0.0,0,8,0,0.0,0,{},"[64, 512, 1536, 64, 768, 128]",64,1536,512.0
imbalance_model,,0,mixed_synthetic,0,native,"64,512,1536,64,768,128",4,6,6,8,model,model,Clover Planner,clover-planner,balanced_token_sharding_model,0.0,0.0,0.0,0.0,6,16,,model,model,16,1.0,768.0,768.0,768.0,1.0,0.0,0.0,1.0,0.0,0.0,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]",0.0,0.0,0.0,0.0,0.0,0,0,3072,0.0,0.0,0.0,0.0,0.0,0,8,0,0.0,0,{},"[64, 512, 1536, 64, 768, 128]",64,1536,512.0
