achieved_output_throughput_tps,achieved_request_throughput_rps,arrival_rate_rps,baseline,baseline_key,case_seed,dataset,dataset_slug,error,input_tokens_mean,input_truncated_count,internal_baseline,latency_from_arrival_mean_s,latency_internal_mean_s,model,model_slug,normalized_internal_latency_mean,normalized_internal_latency_p50,normalized_internal_latency_p90,normalized_internal_latency_p95,normalized_latency_mean,normalized_latency_p50,normalized_latency_p90,normalized_latency_p95,num_requests,out_of_order_completions,output_length_fallback_count,output_tokens_mean,output_truncated_count,status,wall_time_s
2.1289018758909264,0.3063168166749534,0.35,AFD,afd,513737399,longbench-qasper,longbench-qasper,,512.0,20,disagg_afd,19.87863872051239,13.086196541786194,opt-1.3b,opt-1-3b,2.2434386919273273,2.1180187596215143,2.880947232246399,2.99839780330658,5.476427809877528,3.5808899137708874,9.066644263267538,22.28287024497986,20,11,0,6.95,6,ok,65.29187726974487
2.2055815881745913,0.3173498688020994,0.4,AFD,afd,1940884034,longbench-qasper,longbench-qasper,,512.0,20,disagg_afd,22.357001638412477,15.240073895454406,opt-1.3b,opt-1-3b,2.5455026152729987,2.407090409596761,3.3528319644927986,3.6627601385116577,5.937297931396299,3.5041663249333697,10.289909458160423,25.38928099870682,20,10,0,6.95,6,ok,63.021926164627075
2.2879590618888477,0.32920274271781985,0.5,AFD,afd,177218068,longbench-qasper,longbench-qasper,,512.0,20,disagg_afd,25.27816449403763,17.903023278713228,opt-1.3b,opt-1-3b,2.907699296209547,2.7541741728782654,3.8089095115661626,4.290723145008087,6.530647381312317,3.3575597777962685,12.365843319892912,30.646241736412048,20,10,0,6.95,6,ok,60.752835273742676
2.2175781223641673,0.31907598882937654,0.6,AFD,afd,485034612,longbench-qasper,longbench-qasper,,512.0,20,disagg_afd,33.03776986598969,22.67972505092621,opt-1.3b,opt-1-3b,3.733959783845478,3.3977068811655045,5.102737752596537,5.342564264933269,8.991667918480106,3.8325304463505745,18.73937416076663,37.59212254285812,20,9,0,6.95,6,ok,62.68099355697632
2.2622925444543016,0.32550971862651823,0.8,AFD,afd,194140390,longbench-qasper,longbench-qasper,,512.0,20,disagg_afd,41.197179436683655,25.14875967502594,opt-1.3b,opt-1-3b,4.24638854359587,3.5162482604384424,6.470100259780884,6.740215122699738,11.728794079456064,5.122888975673252,28.415411067008993,42.62517206668854,20,9,0,6.95,6,ok,61.442097902297974
1.6046849293579424,0.10124195137905,0.1,AFD,afd,876940267,sharegpt,sharegpt,,229.5,6,disagg_afd,28.948293709754942,17.450621676445007,opt-1.3b,opt-1-3b,1.0963850762408514,1.1383324414491653,1.3595780819654466,1.4213432177901268,1.8174576855049684,1.5346211269497871,3.3908780440688133,3.4081830844283107,20,0,0,15.85,19,ok,197.54656767845154
2.1708495552206593,0.13696211704862205,0.15,AFD,afd,1382584119,sharegpt,sharegpt,,229.5,6,disagg_afd,28.753495609760286,21.84024969339371,opt-1.3b,opt-1-3b,1.3718327053464376,1.267349287867546,1.9185585722327234,1.9616260021924974,1.809519983541507,1.783914752304554,2.705585460364819,2.784213348478079,20,0,0,15.85,19,ok,146.02578020095825
2.576978034289652,0.16258536493941023,0.2,AFD,afd,1929522035,sharegpt,sharegpt,,229.5,6,disagg_afd,32.94152780771255,28.273342382907867,opt-1.3b,opt-1-3b,1.7814870986227807,1.6637097671627998,2.4040324464440346,2.4625901624560353,2.082533252181915,1.8156991750001907,2.934491665661335,3.007780209183693,20,0,0,15.85,19,ok,123.01230192184448
2.7268083811009114,0.17203838366567265,0.25,AFD,afd,1292452137,sharegpt,sharegpt,,229.5,6,disagg_afd,46.81195061206817,40.930831384658816,opt-1.3b,opt-1-3b,2.577918277279689,2.7084150463342667,3.5162133127450943,3.626309768855572,2.9489680143503043,2.862523838877678,4.163484175503254,4.228520943969489,20,0,0,15.85,19,ok,116.25312662124634
2.7855943559295064,0.175747277976625,0.3,AFD,afd,1282285025,sharegpt,sharegpt,,229.5,6,disagg_afd,63.80143471956253,51.51072809696198,opt-1.3b,opt-1-3b,3.2483366837868326,3.254737218985191,4.2051009550690654,4.266590606421232,4.055762959386294,3.9184649288654327,5.680399815738201,5.83254981126923,20,0,0,15.85,19,ok,113.79977107048035
2.805938896973361,0.17703084523491236,0.35,AFD,afd,1948946170,sharegpt,sharegpt,,229.5,6,disagg_afd,73.59088126420974,60.40847409963608,opt-1.3b,opt-1-3b,3.82378250761674,3.966468319296837,4.899826589226723,5.129909935880166,4.668991120503499,4.483357161283493,6.454511569440364,6.508293839142873,20,0,0,15.85,19,ok,112.97466254234314
2.805110511895954,0.17697858119217377,0.4,AFD,afd,945948691,sharegpt,sharegpt,,229.5,6,disagg_afd,77.60831283330917,65.78498471975327,opt-1.3b,opt-1-3b,4.166618389235093,4.321632191538811,5.427291116118432,5.505050763086631,4.9215952132756895,4.80756738781929,6.532351872324943,6.589449961196919,20,3,0,15.85,19,ok,113.00802540779114
2.8125760173229017,0.17744959099829033,0.5,AFD,afd,381300903,sharegpt,sharegpt,,229.5,6,disagg_afd,93.14828692674637,74.56747813224793,opt-1.3b,opt-1-3b,4.716230128017756,4.7349558994174,5.852509534358978,5.901211448071095,5.894711526769858,5.749707847833633,7.034212529659271,7.080662839401227,20,0,0,15.85,19,ok,112.7080647945404
